date_new,Id_check,ID_client,Count_products,Sum_payment
2016-03-01,2271145,104027,2.034,23.31
2016-03-01,2271145,104027,1,31.75
2016-03-01,2271145,104027,1,6.8
2016-03-01,2271145,104027,1,6.24
2016-03-01,2271145,104027,1,36.98
2016-03-01,2271145,104027,1,10.93
2016-03-01,2271145,104027,1,60.96
2016-03-01,2271145,104027,1,72.17
2016-03-01,2271145,104027,1,60.96
2015-07-01,1771932,112005,1,2.15
2015-07-01,1771932,112005,1,8.63
2015-07-01,1771932,112005,1,7.57
2015-07-01,1771932,112005,1,5.17
2015-07-01,1771932,112005,0.846,4.06
2015-07-01,1771932,112005,1,10.97
2015-07-01,1771932,112005,1,15.92
2015-07-01,1771932,112005,1,1.24
2015-07-01,1771932,112005,1,3.5
2015-08-01,1795365,112005,1.032,1.37
2015-08-01,1795365,112005,1,4.45
2015-08-01,1795365,112005,1,2.76
2015-08-01,1795365,112005,1,1.24
2015-08-01,1795365,112005,1,3.96
2015-08-01,1795365,112005,1,2.62
2015-08-01,1795365,112005,1,0.66
2015-08-01,1795365,112005,1,0.66
2015-08-01,1795365,112005,0.918,4.41
2015-08-01,1795365,112005,1,10.7
2015-08-01,1795365,112005,0.118,1.1
2015-08-01,1795365,112005,1.084,24.92
2015-08-01,1795365,112005,0.32,4.24
2015-08-01,1795365,112005,0.366,6.9
2015-08-01,1795365,112005,2,14.88
2015-08-01,1795365,112005,1,2.2
2015-08-01,1795365,112005,1,3.55
2015-08-01,1795365,112005,1,2.02
2015-08-01,1795365,112005,1,2.13
2015-08-01,1840418,112005,1,2.35
2015-08-01,1840418,112005,1,4.74
2015-08-01,1840418,112005,1,5.74
2015-08-01,1840418,112005,1,4.79
2015-08-01,1840418,112005,1,13.04
2015-08-01,1840418,112005,1,0.82
2015-08-01,1840418,112005,1,6.57
2015-08-01,1840418,112005,1,15.92
2015-08-01,1840418,112005,30,11.4
2015-08-01,1840418,112005,1.726,3.11
2015-10-01,1951445,112005,1,2.04
2015-10-01,1951445,112005,2,12.26
2015-10-01,1951445,112005,2,1.66
2015-10-01,1951445,112005,1,2.61
2015-10-01,1951445,112005,1,6.35
2015-10-01,1951445,112005,1,1.76
2015-10-01,1951445,112005,1,2.62
2015-10-01,1951445,112005,5,4.35
2015-10-01,1951445,112005,0.394,5.4
2015-10-01,1951445,112005,5,8.3
2015-10-01,1951445,112005,1,2.68
2015-10-01,1951445,112005,2,2.66
2015-10-01,1951445,112005,2,17.26
2015-10-01,1951445,112005,1,2.35
2015-10-01,1951445,112005,1,2.02
2015-10-01,1951445,112005,1,16.8
2015-10-01,1951445,112005,0.232,4.63
2015-12-01,2091183,112005,3,13.95
2015-12-01,2091183,112005,1,13.2
2015-12-01,2091183,112005,3,19.35
2015-12-01,2091183,112005,4.174,7.22
2015-12-01,2091183,112005,1,1.18
2015-12-01,2091183,112005,1,1.18
2015-12-01,2091183,112005,2,11.32
2015-12-01,2099008,112005,3,16.98
2015-12-01,2099008,112005,3.374,5.84
2015-12-01,2099008,112005,1,1.33
2015-12-01,2099008,112005,1,15.79
2015-12-01,2099008,112005,1,11.42
2015-12-01,2099008,112005,1,2.76
2015-12-01,2099008,112005,1,13.2
2015-12-01,2099008,112005,2,9.38
2015-12-01,2099008,112005,2,9.38
2015-12-01,2101146,112005,1,4.69
2015-12-01,2101146,112005,1,4.69
2015-12-01,2101146,112005,2,10.28
2015-12-01,2101146,112005,2,4.8
2015-12-01,2101146,112005,1,1.24
2015-12-01,2101146,112005,0.16,3.05
2015-12-01,2101146,112005,10,5.5
2015-12-01,2101146,112005,3,16.98
2015-12-01,2101146,112005,10,1.4
2015-12-01,2103429,112005,0.164,3.05
2015-12-01,2103429,112005,1.118,9.84
2015-12-01,2103429,112005,2,11.32
2015-12-01,2103429,112005,1,6.52
2015-12-01,2103429,112005,3,15.42
2015-12-01,2103429,112005,2,9.38
2015-12-01,2103429,112005,2,9.38
